Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
14-02-22,689,700.8,684.05,690.1,694.3,2069409,1435371330
11-02-22,695,703.1,690,702,701,2013324,1402555409
10-02-22,706.25,711,699,705.6,706.7,1770292,1251247721
09-02-22,706,709,696.55,701.45,700.2,2206837,1550108799
08-02-22,705.1,710,691.35,696.65,697.1,2410446,1683450109
07-02-22,729,736.75,702.05,705.4,704.8,1908753,1364202910
04-02-22,741,746.55,722.2,732.5,733.8,1931658,1415238621
03-02-22,750,769,733.35,734.95,738.1,8154082,6127838053
02-02-22,741.6,744.9,734.6,741.85,742.45,1771997,1311975205
01-02-22,732,739,717.05,737.9,736.1,2063749,1507418980
31-01-22,726,736.95,722.05,727,727.3,1682459,1226113121
28-01-22,706.5,729.9,706.5,718.5,717.9,2074152,1499349045
27-01-22,700,709.5,687.5,706.5,705.95,3118535,2188764790
25-01-22,690,709.95,675,708.2,707.75,2030546,1417629180
24-01-22,725,725,688.5,691.55,691.45,3114690,2176877985
21-01-22,721,742.95,712,724.65,726.55,4854277,3556355179
20-01-22,728.05,746.25,717.2,726.05,723.45,5297725,3867198728
19-01-22,734.95,738,714,719,717.65,2426249,1745577388
18-01-22,763.8,770,728.4,734.95,731.45,2674149,1994784913
17-01-22,768,771.35,759.25,764.1,765.1,1857366,1421914511
14-01-22,730.2,777,727,760.8,762.5,8733345,6651540701
13-01-22,737,739.45,723.6,731.3,730.2,1604671,1168579416
12-01-22,743,743.3,733.15,735.6,736.1,1817215,1337389759
11-01-22,736.45,743.6,730.75,737,738.65,1905347,1404581526
10-01-22,740.45,743,731,733.2,731.9,1592097,1171473705
07-01-22,725.45,744.65,725.05,738.15,736.1,2107056,1549826804
06-01-22,733,734.95,722.55,726.4,725.45,2077754,1510399340
05-01-22,740.25,743.5,726.5,733.5,733.6,2076552,1518495970
04-01-22,752,756.7,731.05,739,738.85,2352482,1735322861
03-01-22,747,749.4,740,749,748,925699,690816385.3
31-12-21,730,745,729.05,743.6,743.45,865277,639544138.2
30-12-21,729,737.85,725.3,729.1,728,2230935,1632015642
29-12-21,728,728.9,720,724.85,726.65,783940,568414821.2
28-12-21,722.3,729.55,719.4,726,726.95,819253,594356564
27-12-21,710,724.5,706.75,719.9,718.5,691930,494992008.2
24-12-21,729,729,714,718,718.95,931510,670704481.8
23-12-21,720,729.6,712.25,726,726.75,1095354,788897689.6
22-12-21,706.2,717.55,703.8,713.65,714.95,1035751,735948476.1
21-12-21,710.55,725.6,704.8,704.95,705.7,2695789,1915814928
20-12-21,717.45,719.55,696.6,709.45,709.55,2520192,1780226296
17-12-21,738,738.8,721.05,725,726.35,1693819,1231504280
16-12-21,747,750,735.3,742.5,740.25,1452909,1074864414
15-12-21,742,750.5,735.2,745.9,746.3,1676700,1247547035
14-12-21,753,753.95,732.4,740,739.5,2333787,1729747917
13-12-21,774,777.25,752,755.95,754.1,1944410,1481503321
10-12-21,781.65,781.95,765.35,769.5,769.65,1412794,1087810794
09-12-21,773,779.05,766.05,778.1,777.5,935828,723222885.8
08-12-21,758.6,773.65,758.6,770.9,772.15,1002435,767410197.6
07-12-21,758.35,765.5,744,761,760.7,1741795,1316119772
06-12-21,777,778,745.55,748.25,747.6,1654143,1253711530
03-12-21,767.5,781,767.1,774.8,774.3,1408239,1090720181
02-12-21,772.8,780.9,763.55,773.75,773.25,1766820,1361419396
01-12-21,789.9,790.85,767.45,774,772.8,1263844,982584367.9
30-11-21,765,789.65,764.2,781,778.6,3529356,2749209132
29-11-21,766.75,774.9,749.25,766.5,766,1584564,1213855520
26-11-21,800.2,805,763.15,769.9,766.7,2616604,2033173333
25-11-21,799,810.5,795.6,809.65,807.8,1767252,1418938814
24-11-21,824,830,796,798,798.95,1634131,1323777008
23-11-21,802,823.85,802,821,820.95,1025086,837192320.1
22-11-21,832.05,839.05,807.45,809,812.75,1951384,1609416660
18-11-21,837.2,843,822.3,827.55,832.05,1132067,939527431.1
17-11-21,833.9,847.35,832.5,834.8,836.4,1439354,1208192722
16-11-21,855.9,858,830.05,832.85,833.4,1669041,1410663331
15-11-21,852.5,858,847.45,851,852.55,1190768,1016274103
12-11-21,842.25,852.85,840,847.5,847.9,1180441,1000255306
11-11-21,842.15,842.15,823.4,838.7,837.65,1411243,1174371961
10-11-21,837.05,846,830.75,840.25,842.4,1371873,1152629785
09-11-21,835.9,841.5,826,834.5,835.65,1481130,1235937218
08-11-21,830,838.2,817.05,835,836.35,891122,739511660.8
04-11-21,834,834.6,826,828,827.4,175837,145725571.8
03-11-21,833,839,820.05,825,826.9,1044563,865916225.8
02-11-21,827.9,836,822.8,833,833.8,1251565,1040819962
01-11-21,821.5,830,806,826,824.9,1552830,1274437455
29-10-21,807,818.5,794.15,812,809.5,2220844,1795984423
28-10-21,818,822.55,805.95,808.1,809.7,1822874,1482715121
27-10-21,812,821.2,809.65,816.5,818.75,1930632,1576232738
26-10-21,786.1,811.9,786.1,810.6,808.9,1776800,1422765142
25-10-21,793,800.6,773.6,786.25,788.95,2954698,2321851073
22-10-21,818.65,821.8,790,792.4,795.25,2948977,2376006159
21-10-21,837.15,838.75,808,817,814.8,2257911,1849403426
20-10-21,841,851.9,822.55,829,826.95,1535158,1281972300
19-10-21,849,862,840.1,844,843.3,1915361,1631527251
18-10-21,863,863,842.05,846,843.95,1914236,1626112867
14-10-21,859.95,860,846,847,849.6,2352197,2005471820
13-10-21,820,854,818.05,851.75,848.15,7233280,6096088154
12-10-21,817.5,823,813.6,818,816.15,1246493,1018960976
11-10-21,821.4,826.5,813,818,816.25,1772719,1450377536
08-10-21,826.9,828.95,812.45,818,818.75,1747911,1433259978
07-10-21,828,830.7,821.35,825,824.55,1500439,1238880449
06-10-21,809.35,834,803,821.35,820.65,5215518,4289785709
05-10-21,815,819.2,799.7,803.25,801.45,3499870,2814337580
04-10-21,801.25,801.25,801.25,801.25,801.25,578458,463489472.5
04-10-21,805.05,817.25,801.75,817.25,814.3,1709463,1386229822
01-10-21,812.9,820,796,801.25,801.25,1989799,1599092138
30-09-21,823,823.95,810.85,812.9,813.6,1622014,1323561237
29-09-21,824.5,829.4,811,822.9,823.45,2156442,1770257746
28-09-21,837,837.4,817,822.5,822.7,1933307,1593933988
27-09-21,837.1,842.4,829,834,835.05,1433229,1197099935
24-09-21,850.65,852,834,836.9,836.75,2846056,2390813431
23-09-21,857.15,859.75,849.05,850,850.65,1464265,1248845808
22-09-21,862,863.35,851.9,854.7,854.15,982114,840837665.2
21-09-21,855,864.45,851,859.85,858.9,1478291,1268493606
20-09-21,870.05,876.95,855,857.45,857,1081450,935969146.2
17-09-21,879.9,881,866.3,872.65,874.15,1829129,1598031561
16-09-21,873.5,883,871.35,874.95,874,1294536,1133647571
15-09-21,885,887.4,870.5,872.9,871.55,1945751,1703366209
14-09-21,884.8,885.9,877.6,880.2,881.3,622424,548887241.6
13-09-21,876.8,884,870.7,880.1,882.1,1064009,934908354.2
09-09-21,875,887.55,872.55,874.9,875.6,1685368,1480443811
08-09-21,874.3,881.35,855.55,879,879.8,1601842,1394007845
07-09-21,870,889,864.95,866.95,868.3,2840271,2494819725
06-09-21,869.85,877.65,863,869,870.05,985142,858168608.8
03-09-21,873.55,873.55,862.15,868.05,869.85,1075187,932675911
02-09-21,866.4,875,862.05,870.65,871.45,1314628,1145348603
01-09-21,871.1,874.7,852.3,865.4,867.45,2051666,1775690939
31-08-21,862,867.7,856.45,866.75,864.95,2132008,1839803307
30-08-21,850,862.75,850,859,860.5,1875514,1608225342
27-08-21,853.95,860.9,844,846.35,847.95,2366396,2014072854
26-08-21,842,856.8,834.55,854.5,853.3,2464570,2085989327
25-08-21,836.1,850.65,833.25,839.45,836,1777820,1496601000
24-08-21,833.5,840.45,827,838.3,836.9,1170096,975742918
23-08-21,849.65,849.7,823,834,832.5,2161681,1801737956
20-08-21,832.95,852.4,826.7,839.6,847.3,3782381,3184170878
18-08-21,839.25,844.85,830.15,840.4,841.4,3048603,2553182838
17-08-21,805,835,805,832.9,832.8,7580699,6252414154
16-08-21,807.4,815.45,800.1,802.5,802.15,2604160,2100291854
13-08-21,777,810.8,774.3,805.25,807.45,7956492,6365611301
12-08-21,765.65,776.2,763,774,774.25,880420,678490642.7
11-08-21,771.9,774.2,752,765,765,1391781,1059290030
10-08-21,765.9,774.55,761.05,771,771.9,1429806,1097816839
09-08-21,783.45,783.45,763,765.9,764.85,1661739,1279919841
06-08-21,773,798.35,772,780,781.35,7849735,6153350299
05-08-21,761,770.7,757.3,770.5,768.35,2469893,1884373658
04-08-21,770,770,755.15,759,758.75,5426419,4117790369
03-08-21,760,770.75,759.55,766.8,767.65,2946289,2257742954
02-08-21,763,771,756.6,759.7,759.55,2054226,1565107196
30-07-21,752,762,745.2,755,756.25,1613176,1220689473
29-07-21,755,759.9,748.5,751.9,751.2,1742057,1310347074
28-07-21,768.95,770,739.2,755,754.9,3112462,2340754484
27-07-21,780.4,788.15,764,767.45,769.75,2001824,1553225186
26-07-21,780.25,786,770.8,777,776.35,2154261,1676754775
23-07-21,767.15,777,766,776.85,775.15,2021122,1562423572
22-07-21,763.5,765.9,755.1,765.1,764.2,1464419,1112558501
20-07-21,762,768,747,756,757.1,2195159,1658529595
19-07-21,761,770,758.55,766.2,765.55,1695546,1298963609
16-07-21,772.35,774.95,761.4,762,763,980383,749310196.6
15-07-21,769,774.6,763.5,770.25,772.35,965602,741620705.6
14-07-21,773.6,776.7,763.4,768,768.2,1094262,840450553.6
13-07-21,780.9,780.9,766.7,771,772.85,1500414,1157905226
12-07-21,771,786.85,769.1,776.15,775.9,2992685,2336265090
09-07-21,763,772.75,759.7,766.8,765.95,1151792,883585407.3
08-07-21,762.95,766,757,762.25,763.3,1540033,1170543317
07-07-21,759,766.05,751.25,765.05,763.05,2104914,1596333554
06-07-21,768,769,758,761.2,762.6,1411602,1075476437
05-07-21,770.45,771.5,765,767.3,766.3,1020895,783917411.3
02-07-21,757.9,768.8,753.2,765.15,763.6,1916135,1462197093
01-07-21,755.8,760,750,758,756.05,1914434,1449237529
30-06-21,765,768.35,749.4,756.15,754.4,1733070,1313519477
29-06-21,766.4,771.9,755.85,761.05,758.05,1506378,1148137977
28-06-21,762,769.7,759,767.35,765.65,1486902,1138235048
25-06-21,755,763.45,753.5,758.45,757.6,1588289,1205261804
24-06-21,762,763.8,754,758,757.45,1668843,1265966071
23-06-21,760,765,751.85,759,757.85,2952360,2240688506
22-06-21,748,758.75,742.35,757.5,756.7,3346784,2519030785
21-06-21,729,743.95,727.85,743.5,742.55,1594856,1174233591
18-06-21,746,747.45,732.1,737.9,739.8,3762934,2785653947
17-06-21,730.55,747.3,724.85,744.15,745,4167585,3086745894
16-06-21,724,737.75,721,734.65,735.9,4134529,3022342577
15-06-21,718,724.1,715.4,718.2,719.5,2387652,1719946098
14-06-21,715.4,717,702.6,717,714.75,1798953,1283873232
11-06-21,714.15,717.35,709.5,716,715.4,2171601,1551710338
10-06-21,704.3,718.75,704,708,707.7,2571253,1828315877
09-06-21,712.3,714.85,700.75,703,702.85,3039558,2149884489
08-06-21,705.15,715.4,701.6,709.05,710.45,3981598,2829628347
07-06-21,690,707,687.3,701.6,699.95,3511853,2458513702
04-06-21,680.85,689.95,675,685.55,686.95,2398771,1644864166
03-06-21,676,683,673.25,678.2,680,2485855,1688335176
02-06-21,665.5,674.75,660.15,673.7,673.55,3021421,2023491929
01-06-21,665.8,667.25,656.8,666,665.8,2355484,1562632450
31-05-21,659.95,665,650.2,663.4,663.85,3417033,2251450785
28-05-21,650.5,657.7,646.3,652.75,654.95,2881977,1883168452
27-05-21,643.5,652,641.15,650,648.55,3543940,2292265496
26-05-21,652,655,640.65,641.55,641.9,2314694,1492935888
25-05-21,641,652,641,651.1,649.95,2085253,1349424843
24-05-21,650,654.7,638.5,640.75,640.1,2669967,1717117871
21-05-21,645.05,652.5,644.3,649.65,649.7,1833201,1188060607
20-05-21,656,656,640.1,643.7,644.9,2102743,1360023297
19-05-21,652,661,650.7,653,653.2,3202046,2095790247
18-05-21,658,658,648,653,653,2267368,1481475831
17-05-21,646,657.4,640.1,653.6,653.3,2659352,1729036722
14-05-21,640.5,649.5,638.05,644.5,645.15,2927148,1887722394
12-05-21,645,646.7,631.1,639.65,640.05,3137276,2006876169
11-05-21,628,649.9,625,640.2,641.6,4619231,2965979835
10-05-21,627,636.95,621,634,633.15,5026811,3165375091
07-05-21,636,642,614,629.95,629,14598653,9129303864
06-05-21,652,654.95,638.15,651.15,653.1,4000163,2585739332
05-05-21,649,656,640.05,652,649.05,3332318,2159694886
04-05-21,681,686.3,641.55,648,645.25,7400792,4837721416
03-05-21,661.85,682.5,661,679.55,677.1,1985777,1342624179
30-04-21,671,678,665.05,669,669.5,2206232,1481169734
29-04-21,678.35,680.45,666,672.25,671.85,3247095,2180636999
28-04-21,677,693,675,676,677.15,3900923,2664444385
27-04-21,674.95,679.9,668.1,674.2,673.7,2258769,1520590999
26-04-21,667,675,662.05,672,670.2,1845322,1236559303
23-04-21,667,675.7,661,665.9,664.6,2329094,1557503552
22-04-21,680.7,680.7,663,667.05,665.5,3013453,2014905207
20-04-21,677.35,698,666.3,678,680.1,8230341,5638841913
19-04-21,662,668.8,651.5,664.4,664.1,2620095,1728882225
16-04-21,662.8,676.55,660.3,668.95,671.3,2708331,1816563985
15-04-21,662.8,674,647.15,660.5,659.3,3193956,2102592261
13-04-21,657,677.9,656,663.8,663.95,3065417,2042941976
12-04-21,675,675.6,650,656.9,655.6,4201041,2779713022
09-04-21,670,685,665,684.5,679.8,2566543,1729627335
08-04-21,667.05,677.2,666.8,670,670.7,2477848,1664391503
07-04-21,674.95,674.95,659.15,664.85,665.75,3898156,2601727209
06-04-21,645.2,679,638.1,675,674.55,7636739,5081984479
05-04-21,651.95,651.95,639.2,641.9,644.95,3568896,2303388331
01-04-21,641,652.95,640.65,650.1,650.15,3844057,2490089082
31-03-21,630,645.7,630,636.5,638.9,4424477,2821961355
30-03-21,630.85,637.6,617.55,630.7,628.9,19895352,12495439318
26-03-21,620,634.95,615.1,628,628.3,3557256,2228068856
25-03-21,634,634.2,611,613,614.85,2981311,1838661922
24-03-21,632.8,639.15,624.65,632.1,629.1,2938251,1852864798
23-03-21,621,640,620.55,633.5,634.1,4940745,3130985932
22-03-21,603,623.05,596.25,621.5,620.55,3154483,1935559868
19-03-21,590,607.65,577.05,601,600.25,4874177,2910779427
18-03-21,606,608.2,587,597.5,594.9,3387208,2019287336
17-03-21,612,612.4,600.1,602.95,603.35,2263020,1368476908
16-03-21,611.55,618,608.5,611.9,610.65,2480801,1518847030
15-03-21,617.1,618.8,602.4,608.85,607.65,2765589,1681058148
12-03-21,623,624.8,613.4,614.9,615.25,1884687,1165792317
10-03-21,616.8,623.65,615,621.5,620.95,2778304,1720266181
09-03-21,618.8,620.9,602,612.4,611.7,3065358,1871275875
08-03-21,626.9,628.2,615,616,616.05,1939925,1203129619
05-03-21,633.7,643.5,618,623.6,622.65,2839628,1787760575
04-03-21,634.9,643.85,628.8,632,631.1,2621353,1666891185
03-03-21,635,648,633,637.5,636.9,3601961,2304307931
02-03-21,628.5,636,622,631.35,632.35,3051386,1921308202
01-03-21,614.9,628.5,609.2,627.05,624.55,2530243,1565603835
26-02-21,625,625.9,604.5,606,609.15,5547291,3410395483
25-02-21,628.9,639.15,624.35,629,628.5,4977348,3133581455
24-02-21,654,654,615,624,625.95,10479819,6671093211
23-02-21,619.9,635,616,629,627.5,4222282,2652523890
22-02-21,619,623.55,612,618.95,618.3,3020000,1865855682
19-02-21,624,626.1,610.45,617.7,616.95,3013104,1864556915
18-02-21,637.45,643.4,621.15,623.95,624,4457424,2812011709
17-02-21,636,645.7,624.25,632.85,632.15,8556599,5424049397
16-02-21,629.9,634.95,617.55,628.15,628.35,6418986,4025691649
15-02-21,608,625.5,607.4,625.5,623.1,3234989,1993794980
12-02-21,616.2,616.2,603.5,607,607.5,3621853,2201822584
11-02-21,603.3,622,598.35,611,610.35,7033762,4322476064
10-02-21,600.75,605.95,597.3,602,600.75,2435907,1465949465
09-02-21,597,607.5,594.55,598.75,598.7,3072281,1849323901
08-02-21,595,604.8,594.9,598,597.1,3970852,2383678617
05-02-21,593.9,600,589.2,592.95,592.5,5918498,3524388974
04-02-21,585,590,577.55,588.6,588.05,3816120,2230037919
03-02-21,589,598,571,579.8,580.15,10599727,6205367264
02-02-21,590,596.4,567.15,575.95,575.35,5713446,3293127783
01-02-21,563,588.75,554.35,588.5,584.15,4707518,2688071447
29-01-21,574,574,554.25,555,559.8,3593336,2030736748
28-01-21,571.9,576,561.5,565.5,564.6,4769073,2699966125
27-01-21,573,588.55,566.55,573,572.65,3662455,2119647818
25-01-21,587.8,589.85,570,573.55,573.6,2016556,1167058870
22-01-21,599.2,606.9,582.6,585.5,584.75,4307126,2566973908
21-01-21,603.4,612.75,590.05,599.3,595.25,4506198,2724139314
20-01-21,588,602.7,583.6,598,596.65,6156865,3668947018
19-01-21,590,591,577.35,582.4,582.7,5743934,3344654202
18-01-21,601.5,601.5,581,582.8,584.75,3346718,1972949732
15-01-21,610,613.5,595,602,602.4,4492648,2707811033
14-01-21,622.9,623,608.65,613.5,614,3576000,2201039942
13-01-21,626.8,633,611.3,619.95,620.4,3660044,2282986622
12-01-21,632.6,634.9,620,623.45,624.3,4562628,2856594777
11-01-21,613,632.8,609.5,632.5,629,6360644,3953939456
08-01-21,606.8,612.5,602.6,607.95,609.55,3458752,2102612715
07-01-21,609.7,610.3,598.55,601.95,600.85,2195640,1325530121
06-01-21,613,613.8,595.4,605.75,604.95,2167700,1314128414
05-01-21,604,614.3,601.1,608.65,609.55,3813409,2322409395
04-01-21,606.95,606.95,597.5,605.4,604,2120531,1279843164
01-01-21,593,606.8,591,601.75,601.5,3606724,2172626903
31-12-20,597.45,599.75,587,590.5,589.9,2322873,1374635965
30-12-20,598.8,604,590.05,593.65,594.35,2297999,1365968159
29-12-20,607.7,607.7,593.2,599,598.6,2114428,1264005999
28-12-20,607.7,611.95,599.2,604.1,602.45,2351027,1422475482
24-12-20,615,616.1,597.05,601,601,5295707,3209134925
23-12-20,577.8,606.85,573.05,606.6,605.3,7582654,4506208421
22-12-20,559.8,578.05,551,575.5,576,3264707,1852066528
21-12-20,574,579.95,553.7,560,562.75,4816486,2732200662
18-12-20,578,581.9,567.5,573.5,573.55,5068565,2903400892
17-12-20,584.95,593.4,575.55,577.65,577.3,3608243,2105230913
16-12-20,574.9,585.2,573.7,584,583.6,3686970,2139899009
15-12-20,577,580.65,566.5,572.65,571.3,3411634,1958471595
14-12-20,579.8,583,572.1,577,577,2482828,1435069014
11-12-20,584.8,589.35,570.55,575,576.4,3441778,1993666794
10-12-20,562,584.7,560.2,583,579.9,4578520,2628678260
09-12-20,564,570,560.35,566.2,565.5,2567264,1454278923
08-12-20,570,570,558,563.1,562.75,2866169,1616971833
07-12-20,563.95,570,561,567,567.85,3707125,2100811318
04-12-20,552,566.9,549.75,563,563.5,4170295,2338837479
03-12-20,541,552.9,540,550,550.4,3859218,2112820333
02-12-20,532,541.8,530.1,538.35,539.25,3694795,1986698267
01-12-20,554,554,525.3,529.9,529.3,5105352,2737677757
27-11-20,520.8,545.3,520.55,537.05,538,18853563,10115365283
26-11-20,516.5,523.6,505.05,520,519.85,3566655,1846378039
25-11-20,529.25,529.4,508.4,515.95,514.8,2941845,1517774119
24-11-20,524.2,530.7,521.65,526,526.85,4070241,2145673853
23-11-20,520,534.9,519,520,521.65,5314636,2803067469
20-11-20,520.25,523.8,515.6,519.3,519.05,2767344,1437538449
19-11-20,515.9,528,512.25,514.8,515.6,3655576,1902482696
18-11-20,518.3,524,514,517,516.9,3693589,1919657157
17-11-20,518,521.85,513.1,517.8,518.3,2774413,1438470413
14-11-20,517.85,518.9,515,515.25,516.15,530739,274291385.5
13-11-20,509.8,519,508.2,514.5,513.25,4005435,2061372259
12-11-20,505,512.5,502.2,507.8,508.75,2737879,1389804580
11-11-20,499.5,504.9,495,504.55,503.45,2912596,1457366479
10-11-20,511.2,513.5,495,497,498.4,3255303,1633144103
09-11-20,511,517.85,505.5,508.6,509.85,6179187,3163388483
06-11-20,507.75,510.35,501.45,503.2,504.2,3209659,1623650768
05-11-20,497,509.2,495.85,506.65,506.45,5208756,2628554783
04-11-20,491,498.55,489,494.5,492.75,5024804,2469590764
03-11-20,497.8,504.55,488.3,490.2,489.5,8103580,3990881849
02-11-20,494,498.2,488.3,493.85,493.75,6105178,3010082439
30-10-20,494,500.3,488.9,494,492.85,4403239,2171439948
29-10-20,488.6,495.4,484.3,492.2,492,4366108,2148658122
28-10-20,501.8,504.8,489.55,492.45,492.85,5195487,2580594936
27-10-20,478,501.65,478,501,498.75,10455347,5155151302
26-10-20,474.9,484.3,470.15,476.8,476.95,6102542,2915703003
23-10-20,469.95,474,466.2,472.8,472.8,2619244,1234221073
22-10-20,465.65,470.5,460.45,466.95,466.2,3460945,1613125807
21-10-20,479.7,482.3,458.95,464.5,465.3,4907270,2307508487
20-10-20,476,484,475.15,476.3,477.9,2736592,1310791767
19-10-20,481.9,484.25,472.05,476.6,475.85,3162082,1510710829
16-10-20,478.75,486.7,475.05,478,477.1,4313466,2073029149
15-10-20,493,494.2,471,474.45,474.1,4700097,2273081224
14-10-20,468.7,491.4,463.55,490.35,489.8,8021661,3866518085
13-10-20,473.8,477.5,467.05,468.45,468.95,2260828,1069412183
12-10-20,474.5,483.6,470.35,474.05,474.7,4422571,2105690974
09-10-20,490.2,493.05,470.05,472.9,471.25,6721697,3218528781
08-10-20,506.8,508.3,485,489,488.25,5419804,2671940642
07-10-20,507,511,501.6,504.95,505.05,2157279,1090608967
06-10-20,507,513.5,502.85,505.95,505.6,2973464,1509951925
05-10-20,513.4,513.4,502.1,503,503.55,2023148,1023239563
01-10-20,508.55,511.2,499.1,508.8,509.1,3070369,1556110264
30-09-20,507,515.5,495.55,499,499.95,6252290,3160903762
29-09-20,519.6,527,500.1,502,503.25,4918426,2501211985
28-09-20,514,522,503.55,516.3,517,5554225,2842891474
25-09-20,498.8,512,495.3,509.8,509.8,5153485,2612892474
24-09-20,489.9,492.85,478,486.5,488.65,9647490,4694164002
23-09-20,506,510.9,490,490.6,493.55,4284384,2135434408
22-09-20,504.45,511.7,490.4,503.8,504.4,5113531,2576581523
21-09-20,540.6,542.3,502,503,507.75,3886373,2033985703
18-09-20,551.05,553.25,537.3,540.9,540.6,9395458,5099376883
17-09-20,542,552,533.15,548.25,548.3,3725336,2032096730
16-09-20,541.95,546.35,537.55,541.45,542.4,2127939,1154297267
15-09-20,547,550.5,540.5,541.9,542.35,1813411,987226752.4
14-09-20,552,555.2,543.4,546,546.5,2809333,1543890634
11-09-20,549.8,553,540.95,547.95,548.4,3451646,1890160106
10-09-20,538,548.9,534.15,546.3,546.55,3787088,2052383498
09-09-20,534,540.9,529.15,535.4,534.75,4392057,2344848797
08-09-20,547.2,548.7,533.65,534.9,538.35,3891955,2114547997
07-09-20,570,572,542,545.45,545.3,5254308,2883723052
04-09-20,568.95,587.4,566.6,568,569.05,6464047,3731157803
03-09-20,548.5,591.95,548.5,576.35,578.5,12052262,6944775349
02-09-20,552,556,542.1,548.3,549.85,4042692,2216706081
01-09-20,526,549.8,526,549.5,548.5,3854981,2089732284
31-08-20,549,552.35,528.2,533.9,532.35,5543930,2975097204
28-08-20,547.9,555.85,544,548.1,547.05,2692947,1479058557
27-08-20,552.8,553.85,543.5,545.65,544.65,2572198,1404740539
26-08-20,544.9,561.4,544.7,549,549.15,5778039,3200231859
25-08-20,547.4,547.7,541.25,544.9,545.55,1850495,1006270339
24-08-20,546.5,550,543.55,545.45,545.55,2123227,1158755192
21-08-20,553,556.95,544.15,545.9,545.8,2953395,1620214999
20-08-20,541.4,553.2,540.05,550,549.25,4812376,2627714718
19-08-20,547.45,551.1,542.35,548.1,548.2,3597625,1965920148
18-08-20,545.55,553.4,542.5,545,545.75,3328165,1824000799
17-08-20,541.15,548,538.3,545.55,543.75,5044208,2738871829
14-08-20,541.95,544.5,530.55,538.75,537.5,5922027,3190413152
13-08-20,520,543,518.55,541,539.05,7877240,4224116673
12-08-20,515.2,522,509.15,518,517.55,3883868,2008538419
11-08-20,524.5,527.9,514.3,516.4,515.9,4690415,2438222754
10-08-20,520.95,526,510.7,521.1,520.3,6832826,3545530496
07-08-20,487.6,529.95,482.7,517,518.6,30560093,15684091741
06-08-20,450,489,449.05,483,484.75,15882667,7491998086
05-08-20,465,471.8,440.3,448,447.6,20178367,9193124884
04-08-20,439.4,452.3,436,450,449.75,6816093,3036909617
03-08-20,428.95,440,427.7,435,434.1,2917293,1266580791
31-07-20,425,434,425,428.5,428.05,3115208,1339389178
30-07-20,430.4,432,421.55,425.6,424.9,1866344,796826688
29-07-20,417,429.9,417,428.9,427.7,5938179,2524577120
28-07-20,409.95,416.4,409,413,413.05,3500424,1443700425
27-07-20,408.45,414,404.3,407.75,408.45,3132821,1284345988
24-07-20,404.7,415,402.35,408.4,408.45,3124083,1279711333
23-07-20,409.6,412.35,402.7,405.15,404.4,2992497,1214870699
22-07-20,410,417.4,404,406.6,407,2620408,1078269976
21-07-20,424,424.75,408.4,409.95,409.45,2752464,1142227692
20-07-20,426.7,426.7,417.95,423.2,423.1,1680913,708908944.9
17-07-20,411.4,424.5,411,424.5,423,2740799,1143604158
16-07-20,415.4,415.8,407.15,410.4,410.3,2027081,831128791.2
15-07-20,422.85,423.1,411.35,412.2,413.05,2076567,867884385.9
14-07-20,420,426.45,417.5,418,419.35,3232206,1364331556
13-07-20,430.1,433.55,422,424.45,424.45,2552387,1091867224
10-07-20,429.55,437.75,428.65,430.6,430.1,3765369,1627279950
